artist_name,year,songs_count
!!!,2007,1
1. Futurologischer Congress,1982,1
2 Minutos,1994,3
2 Minutos,1997,1
2 Minutos,1999,1
2 Minutos,2003,1
2 Minutos,2006,2
2-4 Grooves feat. Reki D.,2009,1
22-20s,2004,1
23rd Turnoff,2001,1
2raumwohnung,2001,1
2raumwohnung,2002,1
2raumwohnung,2007,1
2raumwohnung,2010,1
3 Doors Down,1999,2
3 Doors Down,2002,2
3 Doors Down,2003,1
3 Doors Down,2007,1
3 Doors Down,2008,1
3 Steps Ahead,1997,1
3 of Hearts,2001,1
30 Seconds To Mars,2002,3
30 Seconds To Mars,2005,1
30 Seconds To Mars,2009,1
32 Leaves,2009,1
3OH!3,2008,1
40 Grit,2003,2
45 Grave,1983,1
45 Grave,1989,2
4Him,1994,1
4Him,1995,1
4Him,2000,1
5 Blind Boys Of Alabama,1996,1
50 Cent,2002,1
50 Cent,2007,1
50 Cent / Mobb Deep,2005,1
5th Ward Boyz,1993,3
5th Ward Boyz,1994,1
8Ball & MJG,2007,1
99 Posse,1992,2
A Different Breed of Killer,2008,1
A Perfect Murder,2007,2
A Skylit Drive,2007,1
A Static Lullaby,2005,1
A Static Lullaby,2008,1
A Tribe Called Quest,1991,1
A Tribe Called Quest,1996,1
A Tribe Called Quest,1998,1
A Tundra,2010,1
A-Mei,2008,1
A.Z.,1995,1
A.Z.,1998,1
AFI,2006,2
AFI,2009,2
ARRESTED DEVELOPMENT,1993,1
ARRESTED DEVELOPMENT,2002,1
ARRESTED DEVELOPMENT,2006,1
ATB,2004,2
ATB,2005,1
AZ,2002,1
Aaron Watson,2008,4
Abijah,2003,2
Abraham Laboriel,1995,2
Abysmal Dawn,2008,2
Ace Frehley,2009,1
Aceyalone,2007,1
Adalberto Santiago,1977,1
Adam Ant,1982,3
Adam Ant,1998,1
Adam Richman,2005,1
Adrenalin O.D.,1986,1
Adrienne Pierce,2008,1
Aeoliah,2007,1
Aerosmith,1974,2
Aerosmith,1979,1
Aerosmith,1987,1
Aerosmith,1988,1
Aerosmith,1989,1
Aerosmith,1991,1
Aerosmith,1993,4
Aesop Rock,2001,2
Aesop Rock,2002,1
Aesop Rock,2003,2
Africando,2003,1
Africando All Stars,2003,1
Afrob feat. Sarah,2009,1
Agnostic Front,1992,1
Agnostic Front,1999,2
Agnostic Front,2001,1
Agnostic Front,2002,1
Agnostic Front,2004,1
Agnostic Front,2007,1
Ai Ai Ai,1994,1
Aiden,2007,2
Aiden,2009,2
Airto Moreira,2003,1
Aisha Duo,2005,2
Akon,2004,1
Akon,2006,1
Akon,2008,1
Al Denson,1999,1
Al Di Meola,1980,2
Al Di Meola,1983,1
Al DiMeola,1982,1
Al DiMeola,1992,1
Alan Silvestri,1990,1
Alan Silvestri,2006,1
Alan Silvestri,2009,1
Albert Ayler,1969,1
Albert Collins,1993,1
Albert King,1968,1
Alberto Cortez,1989,1
Alceu Valença,1992,1
Alceu Valença,1997,1
Alceu Valença,1998,1
Alejandro Lerner,1984,2
Alejandro Lerner,1998,1
Alex Gopher,2007,1
Alex Ubago,2003,1
Alex Ubago,2009,2
Alexander O'Neal,2008,4
Alexandre Desplat,2004,1
Alexandre Desplat,2005,1
Alexandre Desplat,2006,1
Alexandre Desplat,2008,1
Alexandre Desplat,2009,2
Alexandre Desplat,2010,1
Alexis HK,2004,1
Alexis HK,2009,2
Alexisonfire,2005,1
Alice Cooper,1971,2
Alice Cooper,1982,2
Alice Cooper,2003,1
Alice In Chains,1990,1
Alice In Chains,1992,5
Alice In Chains,2009,2
Alicia Keys,2003,3
Alicia Keys,2005,1
Alicia Keys,2009,1
All Girl Summer Fun Band,2008,2
All Shall Persih,2006,1
All Time Low,2007,1
All Time Low,2008,1
Alphonse Mouzon,1977,1
Alternative TV,1978,1
Alternative TV,1981,1
Alternative TV,1994,1
Alvin Youngblood Hart,1998,1
Alvino Rey And His Orchestra,2005,2
Amil,2000,2
Amoral,2001,1
Amoral,2004,1
Amoral,2009,1
Amorphis,1992,1
Amorphis,1994,1
Amorphis,1997,1
Amorphis,2001,1
Amy Winehouse,2003,2
Amy Winehouse,2007,1
Ana Popovic,2007,2
Ancient Astronauts,2009,1
Andreas Dorau,1994,1
Andreas Dorau,1997,2
Andreas Dorau,2005,1
Andrew W.K.,2003,1
Andrew W.K.,2006,2
André Minvielle,2007,1
André Verchuren,1989,2
André Verchuren,2001,1
Andy & Lucas,2003,1
Andy & Lucas,2005,1
Andy & Lucas,2008,2
Angelo Badalamenti,1987,1
Angelo Badalamenti,2001,1
Angélica María,1997,1
Ann Hampton Callaway,2005,1
Ann Lee,2000,1
Anna Abreu,2007,1
Anne Dudley,2000,2
Anne Dudley,2006,2
Annie Blanchard,2007,2
Annie Lennox,1992,1
Annie Lennox,1995,1
Annie Lennox,2003,1
Anthony Blea Y Su Charanga,2004,1
Anthony Cruz,2005,1
Anti-Flag,1998,1
Anti-Flag,1999,1
Anti-Flag,2001,1
Anti-Flag,2003,2
Anti-Flag,2008,1
Anti-Flag,2009,2
Antigone Rising,2005,1
Apache Indian,1993,1
Aphasia,2001,3
April Wine,1979,2
April Wine,1981,1
Arc Angels,1992,2
Archie Bell and The Drells,2004,1
Architecture In Helsinki,2005,1
Architecture In Helsinki,2007,1
Arctic Monkeys,2004,3
Arne Weise,2002,1
Arsonists Get All The Girls,2009,2
Art Ensemble Of Chicago,2004,2
Arthur Brown,1968,2
Arthur Tracy,1993,3
Arturo Sandoval,1995,1
Arturo Sandoval,1997,2
Arturo Sandoval,2003,1
Ashton Shepherd,2008,2
Ashtrax,2002,1
Asleep At The Wheel,1988,1
Asleep At The Wheel,2002,1
Asleep At The Wheel,2007,1
Astarte,1998,2
Astarte,2000,1
Astarte,2002,1
Aswad,1981,1
At All Cost,2007,1
At The Gates,1991,1
Atari Teenage Riot,1997,1
Atari Teenage Riot,1999,1
Atari Teenage Riot,2000,1
Atman,1997,2
Atman,1998,1
Atman,2002,1
Atman,2005,1
Atman,2007,1
Atomic Rooster,1971,1
Atomic Rooster,1972,3
Atomic Rooster,2005,2
Atomship,2004,1
Atreyu,2004,4
Atreyu,2009,1
Audio Adrenaline,1992,1
Audio Adrenaline,1997,1
Auf Der Maur,2004,1
Autumnblaze,1999,1
Autumnblaze,2009,1
Avril,2000,1
Avril - Remix By Ana Rago,2002,1
Avril Lavigne,2001,1
Avril Lavigne,2004,1
Avril Lavigne,2007,1
Axe,1983,1
Aynsley Lister,2009,1
Ayo,2006,8
Azis,2006,1
B.B. King,1956,1
B.B. King,2002,1
B.B.King,1956,1
B.o.B,2010,1
BB King,1995,1
BLEED THE SKY,2008,1
BMX Bandits,2007,1
BT,2000,1
BT,2004,1
BT,2005,2
BT,2006,1
BT feat. JES,2010,1
Babe Ruth,1975,1
Baby Bash / Grimm,2003,1
Baby Huey & The Baby Sitters,1971,1
Babylon Disco,2005,1
Babylon Disco,2007,2
Bacilos,2004,1
Back Door Slam,2007,2
Backstreet Boys,1999,1
Backstreet Boys,2000,2
Backstreet Boys,2009,1
Bad Azz,1998,1
Bad Azz,2003,1
Bad Brains,1983,3
Bad Brains,1995,1
Bad Brains,1996,1
Bad Company,1974,2
Bad Company,1975,1
Bad Company,1976,1
Bad Company,1979,2
Bad Company,1986,1
Bad Religion,1982,1
Bad Religion,1992,1
Bad Religion,1994,1
Bad Religion,1995,1
Bad Religion,2002,3
Badmarsh & Shri,1997,1
Badmarsh & Shri,2001,1
Bally Sagoo,2003,1
Bare Jr.,1998,3
Barenaked Ladies,1996,1
Baroness,2007,2
Baroness,2009,1
Barry Manilow,1976,1
Barry Manilow Featuring The Glenn Miller Orchestra with Debra Byrd,1994,1
Basement Jaxx,1999,2
Basement Jaxx,2001,1
Basement Jaxx,2009,1
Basic Channel,1994,2
Basic Channel,1995,2
BassTurk,2008,1
Be Bop Deluxe,1975,2
Be Bop Deluxe,1977,1
Be Bop Deluxe,1991,1
Beastie Boys,1989,1
Beastie Boys,1994,2
Beastie Boys,2004,1
BeauSoleil,1991,1
Beautiful Creatures,2001,1
Bebe Winans,2002,1
Bebe Winans / Stephanie Mills,2000,1
Bebo & Cigala,2003,1
Bebo Norman,2004,1
Bebo Norman,2006,1
Bebo Norman,2008,1
Becky Baeling,2003,1
Becoming The Archetype,2005,1
Becoming The Archetype,2008,1
Bedrock,2004,1
Beenie Man,2006,2
Beenie Man Featuring Janet Jackson,2002,1
Behemoth,1999,1
Behemoth,2000,2
Behemoth,2002,2
Behemoth,2004,1
Behemoth,2009,1
Beherit,1990,1
Beherit,1993,2
Beherit,1995,1
Beherit,2009,1
Belle & Sebastian,2003,1
Belle and Sebastian,1996,2
Belphegor,2008,2
Ben Harper And The Blind Boys Of Alabama,2004,1
Ben Jelen,2004,1
Ben Sidran,2009,1
Ben Watt feat. Estelle,2005,1
Benabar,2001,1
Benabar,2003,1
Beneath The Sky,2007,1
Benga,2006,1
Benga,2008,1
Beogradski Sindikat,2002,1
Beres Hammond,2003,1
Berlin,2002,1
Berlin,2004,1
Berrogüetto,2000,1
Bersuit Vergarabat,1996,2
Bersuit Vergarabat,1998,2
Bersuit Vergarabat,2005,1
Bert Kaempfert,1996,1
Bert Kaempfert,1997,2
Bessie Smith,1991,1
Bessie Smith,2007,1
Beth Nielsen Chapman,1997,1
Between The Buried And Me,2002,1
Between The Buried And Me,2006,2
Between The Buried And Me,2007,2
Beyoncé,2003,2
Beyoncé,2006,2
Beyoncé,2007,1
Beyoncé,2008,1
Beyoncé feat. Slim Thug,2005,1
Big Audio Dynamite,1986,1
Big Daddy Kane,2001,1
Big Dee Irwin,1990,1
Big Jay Oakerson,2009,1
Big John Greer,1992,1
Big Mama Thornton with Kansas Bill and his Orchestra,1953,1
Big Maybelle,1995,1
Big Star,2009,1
BigElf,2003,1
BigElf,2008,1
Bikini Machine,2009,1
Bill Cosby,1967,1
Bill Cosby,1968,1
Bill Cosby,1973,1
Bill Douglas,1990,1
Bill Douglas,1993,1
Bill Engvall,1998,1
Bill Laswell,1996,1
Bill Perry,2004,1
Billie Jo Spears,1976,2
Billie Jo Spears,1990,1
Billie Jo Spears,1992,1
Billy Bragg,1984,1
Billy Bragg,2006,1
Billy Bragg,2008,1
Billy Pilgrim,1995,1
Bitty McLean,1995,1
Bizarre Inc,1996,1
Bizzy Bone Presents,2004,1
Black Debbath,2001,1
Black Debbath,2006,1
Black Debbath,2009,1
Black Eyed Peas,2000,1
Black Eyed Peas,2004,2
Black Eyed Peas / Les Nubians / Mos Def,2000,1
Black Eyed Peas / Terry Dexter,2000,1
Black Flag,1980,1
Black Flag,1981,2
Black Flag,1982,1
Black Flag,1985,1
Black History,2001,1
Black Messiah,2009,1
Black Tambourine,2010,1
Blackalicious,1999,2
Blackalicious,2005,1
Blind Blake,2006,1
Blind Boy Fuller,1991,1
Blind Boy Fuller,1995,1
Blind Boy Fuller,2005,1
Blind Lemon Jefferson,1926,2
Blind Lemon Jefferson,1927,1
Blind Lemon Jefferson,1972,1
Blind Lemon Jefferson,2007,1
Blind Willie Johnson,1989,2
Blind Willie Johnson,1991,3
Blind Willie Johnson,1996,1
Blind Willie McTell,1927,1
Blind Willie McTell,2001,1
Blink-182,1997,1
Blink-182,2003,1
Bloc Party,2008,1
Bloc Party,2009,1
Bloomfield,2006,1
Blue October,2009,2
Blue Rodeo,1987,1
Blue Rodeo,1992,1
Blue Rodeo,2005,1
Blue Rodeo,2007,1
Blue Rodeo,2009,2
BoDeans,1986,1
BoDeans,1989,1
BoDeans,2010,1
Boards of Canada,1996,1
Bob Carlisle,1994,1
Bob Dylan,1975,1
Bob Dylan,1978,1
Bob Dylan,1997,1
Bob Hope,2003,1
Bob Marley,1991,1
Bob Marley,1996,1
Bob Marley,1999,2
Bob Marley & The Wailers,1992,1
Bob Marley & The Wailers,2001,1
Bob Marley & The Wailers,2007,1
Bob Neuwirth,1990,1
Bob Newhart,1961,1
Bob Willis,1993,1
Bob Willis,2000,1
Bob Wills,1991,2
Bobaflex,2005,2
Bobbie Gentry,1968,3
Bobby Bland,2006,1
Bobby Darin,1995,1
Bobby Darin,2003,1
Bobby Darin,2008,1
Bobby Hutcherson,1967,1
Bobby Pulido,1996,2
Bobby Pulido,1999,3
Bobby Valentin,1970,1
Bodies In the Gears of the Apparatus,2005,1
Bombay Rockers,2004,1
Bon Jovi,1985,1
Bon Jovi,1986,1
Bon Jovi,1995,1
Bon Jovi,2002,1
Bon Jovi,2004,1
Bon Jovi,2005,1
Bon Jovi,2007,1
Bon Jovi,2008,1
Bon Jovi / Ray Davies,2002,1
Bone Thugs-N-Harmony,2000,3
Bone Thugs-N-Harmony / Akon,2007,1
Boney James And Rick Braun,2000,1
Bongzilla,1999,1
Bongzilla,2002,2
Bongzilla,2005,2
Boogie Pimps,2007,1
Boondox,2010,1
Boots Randolph,1963,1
Bottom Of The Hudson,2003,1
Bottom Of The Hudson,2005,1
Bounty Killer,1995,1
Bounty Killer,2001,2
Bow Wow Wow,2003,1
Boyz II Men,1991,1
Boyz II Men,1994,1
Boyz II Men,2009,1
Brand X,1977,2
Brasilian Tropical Orchestra,1999,1
Bravehearts,2003,1
Brenda Boykin,2008,1
Brenda Lee,1960,2
Brenda Lee,1995,1
Brian Auger's Oblivion Express,1999,1
Brian Eno And David Byrne,1981,1
Brian Littrell,2006,1
Brian Tyler,2007,1
Brian Tyler,2009,1
Brigada Victor Jara,1998,2
Britney Spears,2000,3
Britney Spears,2003,1
Britney Spears,2004,1
Britney Spears,2005,1
Britney Spears,2007,1
Britney Spears,2009,1
Britney Spears feat. Pharrell Williams,2001,1
Britny Fox,1991,1
Britt Nicole,2007,2
Broadcast,2000,1
Broadcast,2003,1
Broadcast,2005,1
Brooke Valentine,2005,2
Brooke White,2009,1
Bruce Rowland,1982,1
Bruce Rowland,1985,1
Bruce Springsteen,1973,1
Bruce Springsteen,1984,1
Bruford,1979,1
Bruno Sanfilippo,1991,1
Bruno Sanfilippo,2006,1
Bryan Ferry,1973,1
Bryan Ferry,1976,1
Bryan Ferry,1994,2
Bryan Ferry,2002,2
Bryan White,1999,3
Buckwheat Zydeco,1987,1
Buddy Jewell,2003,1
Buddy Johnson,2005,1
Buddy Miles,1997,2
Buju Banton,1993,1
Buju Banton,1997,1
Buju Banton,2003,1
Bukka White,1940,2
Bullet For My Valentine,2005,2
Bumblefoot,2008,1
Burning Spear,1977,1
Burning Spear,1980,1
Burning Spear,1991,1
Burning Spear,2009,1
Burt Bacharach,1967,1
Bury Your Dead,2008,1
Bury Your Dead,2009,1
Busdriver,2004,1
Busdriver,2005,1
Busdriver,2007,3
Busdriver,2009,1
Busdriver featuring Abstract Rude & Ellay Khule,2005,1
Busta Rhymes,2000,1
Busta Rhymes,2001,2
Busta Rhymes,2002,1
Butthole Surfers,1987,2
Butthole Surfers,1993,1
Butthole Surfers,1996,1
Buzzcocks,1978,1
Buzzcocks,1980,1
Buzzcocks,2008,1
Buzzhorn,2002,1
Byther Smith,1989,1
Byther Smith,2004,1
Byzantine,2008,1
Béla Fleck,1982,1
Bénabar,2005,2
Bénabar,2007,1
C.C. Adcock,2004,2
C.J. Chenier,1992,1
C.L. Smooth,2006,1
CMW - Compton's Most Wanted,1992,1
Cabas,2008,1
Cabin Crew,2009,1
Cadacross,2002,1
Café Quijano,1998,1
Café Quijano,1999,2
Café Quijano,2001,1
Cake,1998,1
Cake,2001,1
Cal Tjader,1956,1
Cal Tjader,2003,1
Cali,2003,1
Cali,2006,2
Cali,2008,1
Call To Preserve,2006,1
Call To Preserve,2008,3
Cam'Ron,2004,3
Cam'Ron,2006,2
Cam'Ron / JR Writer,2004,1
Cam'Ron / Juelz Santana,2002,1
Cam'Ron / Juelz Santana / Jimmy Jones,2002,1
Cama,2009,3
Camp Lo,1997,1
Camp Lo,2009,2
Cancer Bats,2009,1
Cancer Bats,2010,2
Candlebox,2008,1
Candy Lo,2001,1
Capleton,1991,1
Capleton,1997,1
Capleton,2000,1
Capleton,2005,1
Capone-N-Noreaga,2009,1
Capone-N-Noreaga feat. Busta Rhymes and Ron Browz,2009,1
Captain Hollywood Project,1993,1
Captain Hollywood Project,1995,2
Caramell,1999,1
Cargo Cult,2004,1
Carl Belew,1959,1
Carl Cox Vs Yousef,1991,1
Carl Crack,1998,2
Carl Smith,1990,1
Carl Smith,1993,3
Carlos Baute,2008,1
Carlos Nuñez,2002,1
Carlos Nuñez,2003,1
Carlos Nuñez,2004,1
Carlos Nuñez,2005,1
Carlos Nuñez,2007,1
Carlos Ponce,1999,2
Carlos Ponce,2002,1
Carlos Ponce,2003,1
Carlos Vives,2000,2
Carpenters,1992,1
Casa Bulga,2003,1
Casiotone For The Painfully Alone,1999,1
Casiotone For The Painfully Alone,2001,1
Casiotone For The Painfully Alone,2003,1
Casiotone For The Painfully Alone,2006,2
Casiotone For The Painfully Alone,2008,2
Casiotone For The Painfully Alone,2009,1
Caspa,2009,1
Caspian,2007,1
Cassie,2006,1
Casual,2008,1
Catupecu Machu,2004,1
Cauterize,2003,1
Cece Winans,1998,3
Chalk Farm,1996,1
Chango Spasiuk,1998,1
Charanga Forever,2000,1
Charley Patton,1929,1
Charley Patton,1930,1
Charley Patton,1990,1
Charley Pride,1970,1
Charley Pride,2002,1
Charlie Byrd,1989,1
Charlie Byrd,1991,1
Charlie Byrd,1997,1
Charlie Byrd,2004,1
Charlie Haden,2002,1
Charlie McCoy,1991,2
Charlie Patton,1934,1
Charlie Peacock,1986,1
Charlie Peacock,1988,2
Charlie Peacock,1991,2
Charlie Peacock,1999,1
Charlie Rich,1997,2
Charlotte Gainsbourg,2006,1
Charlotte Gainsbourg,2009,2
Charly Garcia,2003,1
Charly García,1983,1
Charly García,2003,1
Chase & Status,2005,2
Chelsea,1977,1
Chelsea,1979,1
Chelsea,1991,1
Cheo Feliciano,1972,1
Cheri Keaggy,1994,1
Cherish The Ladies,1999,1
Cherrelle,1999,1
Chico Cesar,2008,1
Chimaira,2005,1
Chimaira,2007,1
Chris Clark,1967,1
Chris Eaton,1995,1
Chris Farlowe,1966,1
Chris Rea,1985,1
Chris Rea,1986,1
Chris Rea,2008,1
Chris Standring,2003,2
Chris Standring,2006,2
Christina Aguilera,2000,2
Christina Aguilera,2002,3
Christophe Beck,2002,1
Christophe Beck,2006,1
Chroma Key,2004,1
Chuck Wicks,2008,1
Chéco Feliciano And Joe King,2006,1
Ciaran Byrne,2006,1
Cinder,2006,3
Circle Jerks,1980,2
Circle Jerks,1982,1
Cirrus,2002,1
Citizen Kaned,2000,1
City High,2001,3
Clara Nunes,1982,1
"Clarence ""Gatemouth"" Brown",1995,1
Claude François,1994,1
Claw Hammer,1998,1
Clay Crosse,1998,1
Cliff Bruner,2004,1
Cliff Edwards/Disney Studio Chorus,1991,1
Clifton Chenier,2001,1
Cobra Killer,1998,1
Cockney Rejects,1987,1
Cockney Rejects,1997,2
Cockney Rejects,2007,2
Coco Montoya,1995,1
Cocoa Tea,1991,1
Cocoa Tea,1992,2
Cocoa Tea,1993,1
Cocoa Tea,2008,1
ColdWorld,2008,1
Coldplay,1999,1
Coldplay,2002,1
Coldplay,2003,1
Coldplay,2005,3
Colin James,1995,1
Colin James,2003,1
Colombiafrica - The Mystic Orchestra,2007,1
Commander Cody & His Lost Planet Airmen,1973,1
Commander Cody And His Lost Planet Airmen,1974,3
Commander Cody And His Lost Planet Airmen,1975,1
Concretes,2007,1
Confetti's,2001,1
Connie Francis,1959,1
Connie Smith,2001,2
Constance Demby,1989,2
Converge,2003,1
Converge,2006,1
Converge,2009,1
Conway Twitty,2009,1
Cookie Crew,1989,1
Cookies,2005,1
Cool For August,1997,1
Coph Nia,2000,1
Cornell Campbell,1997,1
Count Ossie,1994,1
Crabby Appleton,1970,1
Cracker,1992,1
Cracker,1995,1
Cracker,1998,1
Cradle Of Filth,1994,1
Craig Wedren,2005,1
Crazy Horse,2006,1
Creedence Clearwater Revisited,1998,1
Crematorium,2005,1
Cross Country,2009,3
Crucial Conflict,2008,1
Curtis,1999,1
Curtis Mayfield,1979,1
Curtis Mayfield,1980,1
Curtis Mayfield,2006,2
Cut Copy,2004,1
Cut Copy,2008,2
Cybertribe,1998,1
Céline Dion,1996,1
Céline Dion,2007,1
Cómplices,1991,1
D.R.S.,1993,1
D:Fuse,2004,1
DAVE MATTHEWS BAND,1993,1
DAVE MATTHEWS BAND,2001,1
DCX,2008,1
DJ Clue / P. Diddy,1998,1
DJ DLG feat. MC Flipside,2006,1
DJ Godfather,1998,1
DJ Godfather,2003,1
DJ Guy,2009,1
DJ Harry,2001,1
DJ Harry,2004,3
DJ Icey,2003,2
DJ Quik,1991,1
DJ Quik,2000,1
DMX,1998,2
DMX,2001,1
DMX / Dyme,1999,1
DMX / Eve / Jadakiss,2003,1
Daath,2006,3
Daddy Yankee,2003,1
Daddy Yankee,2007,1
Daddy Yankee,2008,1
Daddy Yankee,2010,1
Daddy Yankee / May-Be,2004,1
Daft Punk,1995,1
Dala,2009,1
Daler Mehndi,2000,1
Damone,2006,1
Danger Danger,1989,1
Daniel Johnston,1982,2
Daniel Johnston,1983,1
Daniel Johnston,1984,1
Daniel Johnston,1998,1
Daniel Johnston,2006,1
Daniel Johnston,2009,1
Danielle Bollinger,2006,2
Danilo Perez,2003,1
Danilo Perez / Claus Ogerman,2008,1
Danny Barnes,2005,2
Danny Elfman,2002,1
Danny Elfman,2007,1
Danny Williams,1998,1
Danny Wilson,1987,1
Danny Wilson,1989,2
Darden Smith,1990,2
Darden Smith,2002,1
Darden Smith,2004,1
Dario Marianelli,2007,1
Dario Marianelli,2009,3
Dark Fortress,2006,2
Dark Fortress,2008,1
Dark Fortress,2010,1
Dark Party,2008,1
Dark new Day,2005,1
Darryl Worley,2000,1
Darryl Worley,2002,1
Dart,2002,1
Darwin Hobbs,2003,2
Darwin Hobbs,2005,1
Darwin's Waiting Room,2001,2
Daryl Hall & John Oates,1976,1
Daryl Hall & John Oates,1988,1
Daryl Hall & John Oates,1990,1
Daughters,2003,2
"Dave ""Baby"" Cortez",1976,1
Dave And Ansel Collins,1971,1
Dave Brockie Experience,2001,2
Dave Brockie Experience,2003,1
Dave Eggar,1998,2
Dave Eggar,2002,1
Dave Eggar,2005,1
Dave Hollister,2001,1
Dave Hollister,2006,2
Dave Hollister,2008,2
Dave Valentin,1999,1
Dave Weckl,1994,1
David & Steve Gordon,1982,1
David Arkenstone,1996,1
David Arkenstone,2009,2
David Banner,2003,1
David Banner,2008,1
David Benoit,2000,1
David Bowie,1977,1
David Bowie,1982,1
David Cook,2008,1
David Gilmour Featuring Richard Wright,2006,1
David Johansen,1979,1
David Rose & His Orchestra,2004,1
David Summers,1998,1
David Tao,2009,1
Dax Riggs,2007,3
De La Soul / MF Doom,2004,1
DeGarmo & Key,1988,1
Dead Kennedys,1979,1
Dead Kennedys,1980,1
Dead Kennedys,1982,1
Dead Prez,2000,2
Dead To Me,2006,1
Dead To Me,2008,1
Dealership,2004,1
Dean Martin,1997,1
Dean Martin,2002,1
Dean Martin,2005,1
Death Cab for Cutie,2008,1
Death From Above 1979,2004,2
Death SS,2006,1
Debbie Davies,1998,2
Deborah Allen,2005,1
Deborah Coleman,1998,1
Deborah Coleman,2000,1
Dee Clark,1990,1
Dee Clark,2000,1
Deekline & Wizard,2004,1
Deep Blue Something,1995,1
Deep Forest,1992,1
Deep Forest,1997,2
Deep Puddle Dynamics,1999,1
Deepest Blue,2004,1
Defari,2003,1
Defect & Quixotic,2008,1
Deftones,1997,1
Deftones,2000,1
Deftones,2005,1
Deftones,2010,1
Deitrick Haddon,2004,1
Deitrick Haddon,2008,1
Del Tha Funkee Homosapien,1991,2
Del The Funky Homosapien,1998,2
Delbert McClinton,2000,2
Delirious,2000,1
Dells,1957,1
Delroy Wilson,1969,1
Delroy Wilson,1999,1
Delroy Wilson,2009,1
Dendemann,2006,2
Der Plan,1983,1
Der Plan,1988,2
Derek Bailey,1975,1
Descendents,1982,1
Descendents,1986,2
Desert Dwellers,2006,1
Devanic,2006,2
Deville_ Willy,1996,1
Devo,1978,1
Devo,1979,1
Devo,1981,1
Devo,1984,1
Devo,1993,1
Dexy's Midnight Runners,1980,1
Dexys Midnight Runners,1982,1
Dexys Midnight Runners,1991,1
Dexys Midnight Runners,2007,1
Diamanda Galas,1993,1
Diamond D,1997,1
Die Fantastischen Vier,1991,1
Die Fantastischen Vier,2010,1
Diesel Boy,1998,2
Diesel Boy,2001,1
Digital Mystikz,2006,1
Dijous Paella,2005,1
Dilated Peoples,2004,2
Dilated Peoples Featuring Black Thought,2001,1
Dilated Peoples Featuring Capleton,2006,1
Dilated Peoples Featuring Devin The Dude,2004,1
Dimmu Borgir,1996,2
Dimmu Borgir,2001,2
Dimmu Borgir,2007,2
Dinosaur Jr,1991,1
Dinosaur Jr,1994,1
